# form	sources	reason — refused by tools/build_lexicon.py
brim	kazdict	not-cyrillic
btac	kazdict	not-cyrillic
btoa	kazdict	not-cyrillic
busy	kazdict	not-cyrillic
c	apertium	not-cyrillic
cam	apertium,kazdict	not-cyrillic
camus	apertium	not-cyrillic
cas	kazdict	not-cyrillic
case	kazdict	not-cyrillic
categories	kazdict	not-cyrillic
cav	kazdict	not-cyrillic
ccia	kazdict	not-cyrillic
cctv	apertium,kazdict	not-cyrillic
cd	apertium	not-cyrillic
cd-rom	kazdict	not-cyrillic
cddi	kazdict	not-cyrillic
cde	kazdict	not-cyrillic
cdfs	kazdict	not-cyrillic
cdi	kazdict	not-cyrillic
cdma	kazdict	not-cyrillic
cdpd	kazdict	not-cyrillic
cee	kazdict	not-cyrillic
cem	kazdict	not-cyrillic
ceo	kazdict	not-cyrillic
cez	apertium	not-cyrillic
cgi	apertium,kazdict	not-cyrillic
cgm	kazdict	not-cyrillic
chevron%	apertium	not-cyrillic
christie	apertium	not-cyrillic
cic	kazdict	not-cyrillic
cidr	kazdict	not-cyrillic
cif	kazdict	not-cyrillic
cio	kazdict	not-cyrillic
cit	kazdict	not-cyrillic
cli	kazdict	not-cyrillic
clnp	kazdict	not-cyrillic
clut	kazdict	not-cyrillic
clv	kazdict	not-cyrillic
cm	kazdict	not-cyrillic
cma	kazdict	not-cyrillic
cmip	kazdict	not-cyrillic
cms	kazdict	not-cyrillic
cmvc	kazdict	not-cyrillic
cmw	kazdict	not-cyrillic
cnd	kazdict	not-cyrillic
cnlp	kazdict	not-cyrillic
cnm	kazdict	not-cyrillic
cnpc	apertium	not-cyrillic
cnx	kazdict	not-cyrillic
code	kazdict	not-cyrillic
columbia	apertium	not-cyrillic
compact	kazdict	not-cyrillic
company	apertium	not-cyrillic
conoco	apertium	not-cyrillic
consolidated%	apertium	not-cyrillic
content	kazdict	not-cyrillic
cop	kazdict	not-cyrillic
cor	kazdict	not-cyrillic
corba	kazdict	not-cyrillic
cose	kazdict	not-cyrillic
cpi	kazdict	not-cyrillic
crc	kazdict	not-cyrillic
crm	kazdict	not-cyrillic
crs	kazdict	not-cyrillic
cru	kazdict	not-cyrillic
csdn	kazdict	not-cyrillic
csma/cd	kazdict	not-cyrillic
csta	kazdict	not-cyrillic
cty	kazdict	not-cyrillic
cu	kazdict	not-cyrillic
cua	kazdict	not-cyrillic
cul	kazdict	not-cyrillic
cvf	kazdict	not-cyrillic
cvi	kazdict	not-cyrillic
cybermall	kazdict	not-cyrillic
cәуір	apertium	mixed-script
d	apertium	not-cyrillic
da	kazdict	not-cyrillic
dae	kazdict	not-cyrillic
dama	kazdict	not-cyrillic
dans	kazdict	not-cyrillic
dap	kazdict	not-cyrillic
das	kazdict	not-cyrillic
dasd	kazdict	not-cyrillic
dbcl	kazdict	not-cyrillic
dbms	kazdict	not-cyrillic
dbr	kazdict	not-cyrillic
dc	apertium	not-cyrillic
dcb	kazdict	not-cyrillic
dcc	kazdict	not-cyrillic
dce	kazdict	not-cyrillic
ddb	kazdict	not-cyrillic
ddbms	kazdict	not-cyrillic
ddcmp	kazdict	not-cyrillic
ddcs	kazdict	not-cyrillic
dde	kazdict	not-cyrillic
ddl	kazdict	not-cyrillic
ddm	kazdict	not-cyrillic
ddos	kazdict	not-cyrillic
ddp	kazdict	not-cyrillic
demarc	kazdict	not-cyrillic
den	kazdict	not-cyrillic
des	kazdict	not-cyrillic
detailed	kazdict	not-cyrillic
dfs)	kazdict	not-cyrillic
dhcp	kazdict	not-cyrillic
dial-up	kazdict	not-cyrillic
dip	kazdict	not-cyrillic
disa	kazdict	not-cyrillic
distribution	kazdict	not-cyrillic
dl	kazdict	not-cyrillic
dlci	kazdict	not-cyrillic
dlcp	kazdict	not-cyrillic
dll	kazdict	not-cyrillic
dlms	kazdict	not-cyrillic
dlsw	kazdict	not-cyrillic
dmd	kazdict	not-cyrillic
dme	kazdict	not-cyrillic
dmi	kazdict	not-cyrillic
dms	kazdict	not-cyrillic
dmtf	kazdict	not-cyrillic
dns	kazdict	not-cyrillic
dns)	kazdict	not-cyrillic
doapi	kazdict	not-cyrillic
document	kazdict	not-cyrillic
doe	kazdict	not-cyrillic
doms	kazdict	not-cyrillic
down	kazdict	not-cyrillic
download	kazdict	not-cyrillic
downloading	kazdict	not-cyrillic
dpm	kazdict	not-cyrillic
dpp	kazdict	not-cyrillic
dps	kazdict	not-cyrillic
dram	kazdict	not-cyrillic
draw	kazdict	not-cyrillic
drda	kazdict	not-cyrillic
dropbox	kazdict	not-cyrillic
dsa	kazdict	not-cyrillic
dsdd	kazdict	not-cyrillic
dsom	kazdict	not-cyrillic
dssd	kazdict	not-cyrillic
dtp	kazdict	not-cyrillic
dv	kazdict	not-cyrillic
dvd	apertium	not-cyrillic
dve	kazdict	not-cyrillic
dxi	kazdict	not-cyrillic
dxs	kazdict	not-cyrillic
e	apertium	not-cyrillic
e-mail	kazdict	not-cyrillic
ead	kazdict	not-cyrillic
ease	kazdict	not-cyrillic
ebb	kazdict	not-cyrillic
ebr	kazdict	not-cyrillic
ecc	kazdict	not-cyrillic
ecma	kazdict	not-cyrillic
ecne	kazdict	not-cyrillic
ecs	kazdict	not-cyrillic
edcc	kazdict	not-cyrillic
edd	kazdict	not-cyrillic
edi	kazdict	not-cyrillic
edms	kazdict	not-cyrillic
edp	kazdict	not-cyrillic
efe	apertium	not-cyrillic
ein	kazdict	not-cyrillic
eis	kazdict	not-cyrillic
eisa	kazdict	not-cyrillic
eiti	apertium	not-cyrillic
em	kazdict	not-cyrillic
emmi	kazdict	not-cyrillic
emx	kazdict	not-cyrillic
en	kazdict	not-cyrillic
endesa	apertium	not-cyrillic
enms	kazdict	not-cyrillic
eom	kazdict	not-cyrillic
epo	apertium	not-cyrillic
er	apertium	not-cyrillic
erasmus	apertium	not-cyrillic
ericsson	apertium	not-cyrillic
es	kazdict	not-cyrillic
escon	kazdict	not-cyrillic
esd	kazdict	not-cyrillic
esdl	kazdict	not-cyrillic
esl	kazdict	not-cyrillic
esm	kazdict	not-cyrillic
etc	kazdict	not-cyrillic
ethernet	apertium	not-cyrillic
etsi	kazdict	not-cyrillic
eudora	kazdict	not-cyrillic
eunet	kazdict	not-cyrillic
eurovision	apertium	not-cyrillic
expo	apertium	not-cyrillic
exxon	apertium	not-cyrillic
exxon%	apertium	not-cyrillic
f	apertium	not-cyrillic
facebook	apertium	not-cyrillic
farc	apertium	not-cyrillic
favorites	kazdict	not-cyrillic
fbi	apertium	not-cyrillic
fido	kazdict	not-cyrillic
finger	kazdict	not-cyrillic
flamer	kazdict	not-cyrillic
followup	kazdict	not-cyrillic
fossil	kazdict	not-cyrillic
frame	kazdict	not-cyrillic
freedom%	apertium	not-cyrillic
freeware	kazdict	not-cyrillic
freeze	kazdict	not-cyrillic
freq	kazdict	not-cyrillic
friendfeed	apertium	not-cyrillic
ftp	kazdict	not-cyrillic
ftp-clients	kazdict	not-cyrillic
ftp-server	kazdict	not-cyrillic
fтр	kazdict	mixed-script
fтр-алаңқай	kazdict	mixed-script
g	apertium	not-cyrillic
gappn	kazdict	not-cyrillic
gdmo	kazdict	not-cyrillic
gfs	kazdict	not-cyrillic
gif	kazdict	not-cyrillic
gis	kazdict	not-cyrillic
global	apertium	not-cyrillic
glop	kazdict	not-cyrillic
gm	kazdict	not-cyrillic
google	apertium	not-cyrillic
goop	kazdict	not-cyrillic
gopher	kazdict	not-cyrillic
gosip	kazdict	not-cyrillic
gp	apertium	not-cyrillic
gps	apertium	not-cyrillic
grok	kazdict	not-cyrillic
group	apertium	not-cyrillic
guardian	apertium	not-cyrillic
gui	kazdict	not-cyrillic
h	apertium	not-cyrillic
hacker	kazdict	not-cyrillic
hada	kazdict	not-cyrillic
hal	kazdict	not-cyrillic
halal	apertium	not-cyrillic
ham	kazdict	not-cyrillic
handshake	kazdict	not-cyrillic
hang	kazdict	not-cyrillic
has	apertium	not-cyrillic
hci	kazdict	not-cyrillic
hdl	kazdict	not-cyrillic
hdlc	kazdict	not-cyrillic
hdms	kazdict	not-cyrillic
hdtv	kazdict	not-cyrillic
header	kazdict	not-cyrillic
headlines	kazdict	not-cyrillic
helpers	kazdict	not-cyrillic
hft	kazdict	not-cyrillic
hi	kazdict	not-cyrillic
hiv	apertium	not-cyrillic
hll	kazdict	not-cyrillic
hllapi	kazdict	not-cyrillic
hls	kazdict	not-cyrillic
host	kazdict	not-cyrillic
hotjava	kazdict	not-cyrillic
hpfs	kazdict	not-cyrillic
hpr	kazdict	not-cyrillic
hpsn	kazdict	not-cyrillic
hrh	apertium	not-cyrillic
hsb	kazdict	not-cyrillic
hsdl	kazdict	not-cyrillic
hsm	kazdict	not-cyrillic
hsrp	kazdict	not-cyrillic
hssi	kazdict	not-cyrillic
hsv	kazdict	not-cyrillic
html	kazdict	not-cyrillic
http	apertium,kazdict	not-cyrillic
hyperlink	kazdict	not-cyrillic
i	apertium	not-cyrillic
i3еттілік	kazdict	mixed-script
iberdrola	apertium	not-cyrillic
ibm	apertium	not-cyrillic
ibn	kazdict	not-cyrillic
ic	apertium	not-cyrillic
icda	kazdict	not-cyrillic
icfa	kazdict	not-cyrillic
ici	kazdict	not-cyrillic
icts	kazdict	not-cyrillic
icu	apertium	not-cyrillic
idapi	kazdict	not-cyrillic
idde	kazdict	not-cyrillic
idf	apertium	not-cyrillic
idl	kazdict	not-cyrillic
idms	kazdict	not-cyrillic
ien	kazdict	not-cyrillic
ietf	kazdict	not-cyrillic
ih	kazdict	not-cyrillic
ii	apertium	not-cyrillic
iii	apertium	not-cyrillic
ile	kazdict	not-cyrillic
ilmi	kazdict	not-cyrillic
imac	kazdict	not-cyrillic
image-map	kazdict	not-cyrillic
imap	kazdict	not-cyrillic
imd	apertium	not-cyrillic
ime	apertium	not-cyrillic
imr	kazdict	not-cyrillic
ims	kazdict	not-cyrillic
inc	apertium	not-cyrillic
independent	apertium	not-cyrillic
inm	kazdict	not-cyrillic
inpex	apertium	not-cyrillic
insee	apertium	not-cyrillic
instagram	kazdict	not-cyrillic
instructables	apertium	not-cyrillic
internet	kazdict	not-cyrillic
investment	apertium	not-cyrillic
ios	kazdict	not-cyrillic
ip	apertium,kazdict	not-cyrillic
ipad	apertium	not-cyrillic
iphone	apertium,kazdict	not-cyrillic
ipi	kazdict	not-cyrillic
ipod	apertium	not-cyrillic
ips	kazdict	not-cyrillic
ipx	kazdict	not-cyrillic
irc	kazdict	not-cyrillic
irq	kazdict	not-cyrillic
irs	kazdict	not-cyrillic
isa	kazdict	not-cyrillic
isam	kazdict	not-cyrillic
isdn	kazdict	not-cyrillic
iso	apertium,kazdict	not-cyrillic
isp	kazdict	not-cyrillic
isr	kazdict	not-cyrillic
issa	kazdict	not-cyrillic
isv	kazdict	not-cyrillic
iv	apertium	not-cyrillic
ix	apertium	not-cyrillic
iс	apertium	mixed-script
iсмет	baseline	mixed-script
iш%	apertium	mixed-script
j	apertium	not-cyrillic
jad	kazdict	not-cyrillic
java	kazdict	not-cyrillic
javascript	apertium,kazdict	not-cyrillic
jcl	kazdict	not-cyrillic
jenington	apertium	not-cyrillic
jit	kazdict	not-cyrillic
jpeg	kazdict	not-cyrillic
juice	kazdict	not-cyrillic
k	apertium	not-cyrillic
kanip	kazdict	not-cyrillic
karachaganak%	apertium	not-cyrillic
kaz	apertium	not-cyrillic
kazakhgold	apertium	not-cyrillic
kazakhmys	apertium	not-cyrillic
kazakhmys%	apertium	not-cyrillic
kazakhstan	apertium	not-cyrillic
kbms	kazdict	not-cyrillic
kbs	kazdict	not-cyrillic
kepi	kazdict	not-cyrillic
kepic	kazdict	not-cyrillic
keyword	kazdict	not-cyrillic
knowbot	kazdict	not-cyrillic
kpa	apertium	not-cyrillic
kpo	apertium	not-cyrillic
kz	apertium	not-cyrillic
l	apertium	not-cyrillic
l8r	kazdict	not-cyrillic
lan	kazdict	not-cyrillic
lap	kazdict	not-cyrillic
lapm	kazdict	not-cyrillic
lat	kazdict	not-cyrillic
lata	kazdict	not-cyrillic
lau	kazdict	not-cyrillic
leaks	apertium	not-cyrillic
lec	kazdict	not-cyrillic
led	kazdict	not-cyrillic
lel	kazdict	not-cyrillic
limited	apertium	not-cyrillic
link	kazdict	not-cyrillic
linux	apertium	not-cyrillic
listserv	kazdict	not-cyrillic
live	kazdict	not-cyrillic
llc	kazdict	not-cyrillic
lmi	kazdict	not-cyrillic
lnm	kazdict	not-cyrillic
location	kazdict	not-cyrillic
login	kazdict	not-cyrillic
lon	kazdict	not-cyrillic
lq	kazdict	not-cyrillic
ls	kazdict	not-cyrillic
lsapi	kazdict	not-cyrillic
ltd	apertium	not-cyrillic
lu	kazdict	not-cyrillic
lug	kazdict	not-cyrillic
lurk	kazdict	not-cyrillic
lvm	kazdict	not-cyrillic
lynx	kazdict	not-cyrillic
m	apertium	not-cyrillic
magellan	kazdict	not-cyrillic
man	kazdict	not-cyrillic
mapi	kazdict	not-cyrillic
marquee	kazdict	not-cyrillic
mas	kazdict	not-cyrillic
massmedia	kazdict	not-cyrillic
mau	kazdict	not-cyrillic
mdc	kazdict	not-cyrillic
mdi	kazdict	not-cyrillic
metallica	apertium	not-cyrillic
mfc	kazdict	not-cyrillic
mgm	apertium	not-cyrillic
mh	kazdict	not-cyrillic
mhs	kazdict	not-cyrillic
mi	kazdict	not-cyrillic
mib	kazdict	not-cyrillic
midi	kazdict	not-cyrillic
mif	kazdict	not-cyrillic
mii	kazdict	not-cyrillic
mime	kazdict	not-cyrillic
mitm	kazdict	not-cyrillic
mlid	kazdict	not-cyrillic
mls	kazdict	not-cyrillic
mmpm	kazdict	not-cyrillic
mms	kazdict	not-cyrillic
mni	kazdict	not-cyrillic
mnp	kazdict	not-cyrillic
mo	kazdict	not-cyrillic
mob	kazdict	not-cyrillic
mobil	apertium	not-cyrillic
mod	kazdict	not-cyrillic
modem	kazdict	not-cyrillic
mom	kazdict	not-cyrillic
mospf	kazdict	not-cyrillic
mozilla	apertium	not-cyrillic
mp	kazdict	not-cyrillic
mpc	kazdict	not-cyrillic
mpeg	kazdict	not-cyrillic
mpp	kazdict	not-cyrillic
mpr	kazdict	not-cyrillic
mptn	kazdict	not-cyrillic
mqi	kazdict	not-cyrillic
mrci	kazdict	not-cyrillic
mri	apertium	not-cyrillic
msh	kazdict	not-cyrillic
msl	kazdict	not-cyrillic
mtf	kazdict	not-cyrillic
mtnt	kazdict	not-cyrillic
mvs	kazdict	not-cyrillic
myspace	apertium	not-cyrillic
n	apertium	not-cyrillic
nacse	kazdict	not-cyrillic
nap	kazdict	not-cyrillic
napi	kazdict	not-cyrillic
nas	kazdict	not-cyrillic
nasa	apertium	not-cyrillic
nauryz	apertium	not-cyrillic
nba	apertium	not-cyrillic
nbc	apertium	not-cyrillic
ncd	kazdict	not-cyrillic
ncl	kazdict	not-cyrillic
ncs	kazdict	not-cyrillic
ncsa	kazdict	not-cyrillic
ndis	kazdict	not-cyrillic
ndm	kazdict	not-cyrillic
ndms	kazdict	not-cyrillic
nds	apertium,kazdict	not-cyrillic
nep	kazdict	not-cyrillic
net	kazdict	not-cyrillic
net_personality	kazdict	not-cyrillic
net_police	kazdict	not-cyrillic
netiquette	kazdict	not-cyrillic
netscape	kazdict	not-cyrillic
network	kazdict	not-cyrillic
new%	apertium	not-cyrillic
newbee	kazdict	not-cyrillic
news%	apertium	not-cyrillic
newsgroup	kazdict	not-cyrillic
nfs	kazdict	not-cyrillic
ngc	apertium	not-cyrillic
ngo	apertium	not-cyrillic
nic	kazdict	not-cyrillic
nif	kazdict	not-cyrillic
nii	kazdict	not-cyrillic
nike	apertium	not-cyrillic
nitc	kazdict	not-cyrillic
nl	kazdict	not-cyrillic
nlm	kazdict	not-cyrillic
nlq	kazdict	not-cyrillic
nms	kazdict	not-cyrillic
nmvt	kazdict	not-cyrillic
nn	kazdict	not-cyrillic
nncp	kazdict	not-cyrillic
nni	kazdict	not-cyrillic
nntp	kazdict	not-cyrillic
nokia	apertium	not-cyrillic
nos	kazdict	not-cyrillic
nps	kazdict	not-cyrillic
nse	kazdict	not-cyrillic
nstl	kazdict	not-cyrillic
o	apertium	not-cyrillic
o&m	kazdict	not-cyrillic
oc	kazdict	not-cyrillic
oce	kazdict	not-cyrillic
oda	kazdict	not-cyrillic
odapi	kazdict	not-cyrillic
odl	kazdict	not-cyrillic
odma	kazdict	not-cyrillic
oem	kazdict	not-cyrillic
off-line	kazdict	not-cyrillic
off-topic	kazdict	not-cyrillic
ohl	apertium	not-cyrillic
omlt	apertium	not-cyrillic
on-air	kazdict	not-cyrillic
on-line	kazdict	not-cyrillic
openssl	kazdict	not-cyrillic
operating	apertium	not-cyrillic
ours	kazdict	not-cyrillic
oномастикалық	apertium	mixed-script
p	apertium	not-cyrillic
pack	kazdict	not-cyrillic
pad	kazdict	not-cyrillic
patches	kazdict	not-cyrillic
pax	kazdict	not-cyrillic
pay-per-click	kazdict	not-cyrillic
pc	kazdict	not-cyrillic
pcb	kazdict	not-cyrillic
pcl	kazdict	not-cyrillic
pcm	kazdict	not-cyrillic
pcmcia	kazdict	not-cyrillic
pct	kazdict	not-cyrillic
pda	apertium	not-cyrillic
pdn	kazdict	not-cyrillic
petroleum	apertium	not-cyrillic
pfm	kazdict	not-cyrillic
pgp	kazdict	not-cyrillic
pics	kazdict	not-cyrillic
pif	kazdict	not-cyrillic
piggybacking	kazdict	not-cyrillic
pim	kazdict	not-cyrillic
pine	kazdict	not-cyrillic
ping	kazdict	not-cyrillic
pita	kazdict	not-cyrillic
pkk	apertium	not-cyrillic
pl	kazdict	not-cyrillic
plc	apertium	not-cyrillic
ple	kazdict	not-cyrillic
plug-in	kazdict	not-cyrillic
pma	kazdict	not-cyrillic
point	kazdict	not-cyrillic
pop3	kazdict	not-cyrillic
posix	kazdict	not-cyrillic
post	kazdict	not-cyrillic
pots	kazdict	not-cyrillic
pov	kazdict	not-cyrillic
ppl	kazdict	not-cyrillic
ppm	apertium	not-cyrillic
ppp	kazdict	not-cyrillic
pps	kazdict	not-cyrillic
primos	kazdict	not-cyrillic
prompt	kazdict	not-cyrillic
protocol	kazdict	not-cyrillic
provider	kazdict	not-cyrillic
psm	apertium	not-cyrillic
psp	apertium	not-cyrillic
pvc	kazdict	not-cyrillic
q	apertium	not-cyrillic
qbe	kazdict	not-cyrillic
qbm	kazdict	not-cyrillic
qic	kazdict	not-cyrillic
quoted-printable	kazdict	not-cyrillic
r	apertium	not-cyrillic
racf	kazdict	not-cyrillic
raf	apertium	not-cyrillic
raid)	kazdict	not-cyrillic
read.me	kazdict	not-cyrillic
relcom	kazdict	not-cyrillic
reply	kazdict	not-cyrillic
retroactive	apertium	not-cyrillic
rmon	kazdict	not-cyrillic
rot13	kazdict	not-cyrillic
rotfl	kazdict	not-cyrillic
router	kazdict	not-cyrillic
rqbe	kazdict	not-cyrillic
rqs	kazdict	not-cyrillic
rsa	kazdict	not-cyrillic
rss	apertium,kazdict	not-cyrillic
rtl	apertium	not-cyrillic
rtm	kazdict	not-cyrillic
rtos	kazdict	not-cyrillic
s	apertium	not-cyrillic
saa	kazdict	not-cyrillic
safe	kazdict	not-cyrillic
sam	kazdict	not-cyrillic
sas	apertium	not-cyrillic
scat	apertium	not-cyrillic
server	kazdict	not-cyrillic
sfor	apertium	not-cyrillic
shareware	kazdict	not-cyrillic
shell	apertium,kazdict	not-cyrillic
shutdown	kazdict	not-cyrillic
sic	kazdict	not-cyrillic
sig	kazdict	not-cyrillic
signal-to-noise	kazdict	not-cyrillic
signature	kazdict	not-cyrillic
slip	kazdict	not-cyrillic
sme	apertium	not-cyrillic
sms	apertium	not-cyrillic
smtp	kazdict	not-cyrillic
snap	kazdict	not-cyrillic
snarky	kazdict	not-cyrillic
socks	kazdict	not-cyrillic
spam	kazdict	not-cyrillic
ssl	kazdict	not-cyrillic
subject	kazdict	not-cyrillic
substring	kazdict	not-cyrillic
superzap	kazdict	not-cyrillic
sysadmin	kazdict	not-cyrillic
sysop	kazdict	not-cyrillic
t	apertium	not-cyrillic
tanj	kazdict	not-cyrillic
tanstaafl	kazdict	not-cyrillic
tapi	kazdict	not-cyrillic
tar	kazdict	not-cyrillic
tcp/ip	kazdict	not-cyrillic
telnet	kazdict	not-cyrillic
thread	kazdict	not-cyrillic
tiff	kazdict	not-cyrillic
time	apertium	not-cyrillic
times	apertium	not-cyrillic
tls	kazdict	not-cyrillic
tlu	kazdict	not-cyrillic
tnt	apertium	not-cyrillic
top	kazdict	not-cyrillic
tp	kazdict	not-cyrillic
tpc	kazdict	not-cyrillic
ttbomk	kazdict	not-cyrillic
ttfn	kazdict	not-cyrillic
ttul	kazdict	not-cyrillic
twitter	apertium	not-cyrillic
u	apertium	not-cyrillic
udf	apertium	not-cyrillic
uefa	apertium	not-cyrillic
unix	kazdict	not-cyrillic
upload	kazdict	not-cyrillic
url	kazdict	not-cyrillic
usb	apertium	not-cyrillic
usenet	kazdict	not-cyrillic
utc	apertium	not-cyrillic
utilities	kazdict	not-cyrillic
uucp	kazdict	not-cyrillic
uudecode	kazdict	not-cyrillic
uuencode	kazdict	not-cyrillic
v	apertium	not-cyrillic
vac	kazdict	not-cyrillic
vbscript	kazdict	not-cyrillic
veronica	kazdict	not-cyrillic
vi	apertium	not-cyrillic
vii	apertium	not-cyrillic
viii	apertium	not-cyrillic
vmb	kazdict	not-cyrillic
vms	kazdict	not-cyrillic
vrml	kazdict	not-cyrillic
w	apertium	not-cyrillic
wais	kazdict	not-cyrillic
wan	kazdict	not-cyrillic
warner	apertium	not-cyrillic
wats	kazdict	not-cyrillic
whatsapp	kazdict	not-cyrillic
whiteboard	kazdict	not-cyrillic
wiki	apertium,kazdict	not-cyrillic
wikileaks	apertium	not-cyrillic
witness	apertium	not-cyrillic
wordpress	apertium,kazdict	not-cyrillic
workstation	kazdict	not-cyrillic
wrigley	apertium	not-cyrillic
www	kazdict	not-cyrillic
www-бет	kazdict	mixed-script
wysiwyg	kazdict	not-cyrillic
wев-браузер	kazdict	mixed-script
wев-мекенжай	kazdict	mixed-script
wев-сервер	kazdict	mixed-script
wев-торап	kazdict	mixed-script
x	apertium	not-cyrillic
xcoff	kazdict	not-cyrillic
xdp	kazdict	not-cyrillic
xe	kazdict	not-cyrillic
xi	apertium	not-cyrillic
xii	apertium	not-cyrillic
xiii	apertium	not-cyrillic
xiv	apertium	not-cyrillic
xix	apertium	not-cyrillic
xor	kazdict	not-cyrillic
xss	kazdict	not-cyrillic
xv	apertium	not-cyrillic
xvi	apertium	not-cyrillic
xvii	apertium	not-cyrillic
xviii	apertium	not-cyrillic
xx	apertium	not-cyrillic
xxi	apertium	not-cyrillic
y	apertium	not-cyrillic
y/n	kazdict	not-cyrillic
yahoo	apertium	not-cyrillic
youtube	apertium,kazdict	not-cyrillic
yгседі	kazdict	mixed-script
yгітседі	kazdict	mixed-script
yгүрленді	kazdict	mixed-script
yдзленді	kazdict	mixed-script
yдзретті	kazdict	mixed-script
yжімленді	kazdict	mixed-script
yзседі	kazdict	mixed-script
yзүмленді	kazdict	mixed-script
yйүкті	kazdict	mixed-script
yкекледі	kazdict	mixed-script
yкілетті	kazdict	mixed-script
yпледі	kazdict	mixed-script
yплелді	kazdict	mixed-script
yпленді	kazdict	mixed-script
yплетті	kazdict	mixed-script
yркітті	kazdict	mixed-script
yснеді	kazdict	mixed-script
