# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
«электрондық үкімет» веб-порталы	kazdict
«электрондық үкімет» шлюзі	kazdict
«энциклопедиялық сөздік»-	kazdict
«ішім өлген	kazdict
«ғұлама қоғамы»	kazdict
«қазақ» газеті	kazdict
«қазақстан» газеті	kazdict
«қайтсе жеңіл болады жұрт билемек»-	kazdict
«қайғы шығар ілімнен»-	kazdict
«қалың елім	kazdict
«қара базар»	kazdict
«қара сөз»-	kazdict
«қатер» тобындағы бала	kazdict
«қақтаған ақ күмістей кең маңдайлы»-	kazdict
«қобыланды батыр»-	kazdict
«қозьі көрпеш-баян сұлу»-	kazdict
«қол созу» қағидаты	kazdict
«қор болды жаным»-	kazdict
«қош-қош» айтқандай	kazdict
«қызыл балақ қыранның»-	kazdict
«құлақтан кіріп бойды алар»-	kazdict
«үлфәт» газеті	kazdict
«үш жүз» партиясы	kazdict
«ұран» газеті	kazdict
«ұшады бозша торғай көдені ықтап»-	kazdict
«ұқсайды қаса сұлу шомылғанға»-	kazdict
«әрбір және кез келген шығын»	kazdict
«өлең - сөздің патшасы	kazdict
«өлсе өлер табиғат	kazdict
ýа ýәйлә	kazdict
ýа аллаһи	kazdict
ýа нәдамәт	kazdict
ýа хасрата	kazdict
ýаллаһи билләһи сумма билләһи	kazdict
ýәлә қылу	kazdict
а дегеннен	kazdict
а дегенше	kazdict
а десе	kazdict
а десе де	kazdict
а құдайлап	kazdict
а` изза	kazdict
а`ла дамағ	kazdict
аб нисан	kazdict
абад ал-абад	kazdict
абай берді	kazdict
абай бол	kazdict
абай болды	kazdict
абайлап сөйледі	kazdict
абайша күңірену	kazdict
абат болды	kazdict
абат етті	kazdict
абақтыға жабылды	kazdict
абақтыға жапты	kazdict
абақтыға түсті	kazdict
аббар:аббар көшу	kazdict
абжыландай толғанды	kazdict
абжыландай толғану	kazdict
абиотикалық факторлар	kazdict
абиыр бер	kazdict
абиыры төгілді [шашылды	kazdict
абиырын жабатын	kazdict
абиырын жапты	kazdict
абоненттік берешек	kazdict
аборт жасады	kazdict
абсолют алмастырушылар	kazdict
абсолют артықшылық	kazdict
абсолют биіктік	kazdict
абсолют кедейлік	kazdict
абсолют толықтырушылар	kazdict
абсолют шама	kazdict
абсолют ылғалдылық	kazdict
абсолютттік құқықтар	kazdict
абсолютті жүктеуіш	kazdict
абсолютті және салыстырмалы	kazdict
абсолютті және салыстырмалы ақиқат	kazdict
абсолютті табалдырық	kazdict
абсолюттік ақиқат	kazdict
абсолюттік есту	kazdict
абсолюттік жауапкершілік	kazdict
абсолюттік монархия	kazdict
абсолюттік нетто	kazdict
абсолюттік омонимдер	kazdict
абсолюттік шкала	kazdict
абстракті: абстракті өнер	kazdict
абстрактілі лексика	kazdict
абстрактілік жүйе	kazdict
абстрактілік және нақтылық	kazdict
абу ал-жин	kazdict
абу алға	kazdict
абы жауқын	kazdict
абыйырды кетірді	kazdict
абылай аспас	kazdict
абылай аспас асу	kazdict
абылайдың ақ туы	kazdict
абылайдың ақ үйі	kazdict
абылайдың қара қосы	kazdict
абылхаят суы	kazdict
абылхаят: абылхаят суы	kazdict
абылып біту	kazdict
абыр-күбір: абыр-күбір сөз	kazdict
абырой алды [тапты	kazdict
абырой болды	kazdict
абырой болғанда	kazdict
абырой әперді	kazdict
абыройы асты	kazdict
абыройы ашылды	kazdict
абыройы ақтарылды	kazdict
абыройы жойылды [кетті	kazdict
абыройы кірледі	kazdict
абыройы түсті	kazdict
абыройы төгілді	kazdict
абыройы қисайды	kazdict
абыройын айрандай төгу	kazdict
абыройын аяққа басты	kazdict
абыройын жапты	kazdict
абыройын жоғалтты	kazdict
абыройын кетірді	kazdict
абыройын төкті	kazdict
абұйыр жапты	kazdict
абұйыры түсті	kazdict
аваль беру	kazdict
авальдық кредит	kazdict
аванс есебі	kazdict
аванс салығы	kazdict
авансталған капитал	kazdict
авансталған төлемдер	kazdict
аванстық есеп	kazdict
аванстық жарна	kazdict
аванстық төлем	kazdict
авария немесе дүлей күштер жағдайында шаралар қолданбау	kazdict
авариялық-қалпына келтіру жұмыстары	kazdict
аварияға ұшырады	kazdict
авераж мерзімі	kazdict
авиамодельді кордодром	kazdict
авиация психологиясы	kazdict
авиация қаруы	kazdict
авиациялық бомбы	kazdict
авиациялық жасақ	kazdict
авиациялық майлар	kazdict
авиациялық полигон	kazdict
авиациялық ракета	kazdict
австралия кролі	kazdict
автобетон араластырғыш	kazdict
автобус бағдары	kazdict
автобус паркі	kazdict
автобус қатынасы	kazdict
автодәрілегіш: автодәрілегіш қондырғы	kazdict
автоерітінді тасушы	kazdict
автокөлік жүкқұжаты	kazdict
автокөлік құралы	kazdict
автоматтандырылған анықтамалық	kazdict
автоматтандырылған ақпараттық жүйе	kazdict
автоматтандырылған ақпараттық жүйелер мен олардың технологияларын қамтамасыз ету құралдары	kazdict
автоматтандырылған басқару жүйесі –	kazdict
автоматтандырылған жүйе	kazdict
автоматтандырылған жүйеге арналған техникалық тапсырма	kazdict
автоматтандырылған жүйені лингвистикалық қамтамасыз ету	kazdict
автоматтандырылған жүйені математикалық қамтамасыз ету	kazdict
автоматтандырылған жүйені практикалық пайдалану	kazdict
автоматтандырылған жүйені техникалық қамтамасыз ету	kazdict
автоматтандырылған жүйенің бағдарламалық жасақтамасы	kazdict
автоматтандырылған жүйенің жұмыс жобасы	kazdict
автоматтандырылған жүйенің техникалық жобасы	kazdict
автоматтандырылған жүйенің шағын жүйесі	kazdict
автоматтандырылған жұмыс орны	kazdict
автоматтандырылған оқыту жүйесі	kazdict
автоматты аударма	kazdict
автоматты желі	kazdict
автоматты таразы	kazdict
автоматты топбасы	kazdict
автоматты түрде	kazdict
автоматты түрде басқару	kazdict
автоматты тұрақтандырғыш	kazdict
автоматты қондырғы	kazdict
автомобилді индекстеу	kazdict
автомобиль кросы	kazdict
автомобиль паркі	kazdict
автомобиль туризмі	kazdict
автономды және гетерономды этика	kazdict
автономды коммерциялық емес ұйым	kazdict
автономды режим	kazdict
автономды сөз	kazdict
автор бейнесі-	kazdict
авторитарлы баспа теориясы	kazdict
авторитарлық тұлға	kazdict
авторлар ұжымы	kazdict
авторлық баяндау-	kazdict
авторлық білім беру бағдарламалары	kazdict
авторлық дана	kazdict
авторлық мектеп	kazdict
авторлық парақ	kazdict
авторлық шарт	kazdict
авторлық қадағалау	kazdict
авторлық қолжазба	kazdict
авторлық құқық	kazdict
авторлық құқықтың пайда болуы	kazdict
автортану: автортану сараптамасы	kazdict
автоспорт жарыстарының түрі	kazdict
автоспорт түрі	kazdict
автотрофты: автотрофты ағза	kazdict
автотұрмыстық: автотұрмыстық шеберхана	kazdict
автохтондық тіл	kazdict
автохтондық: автохтондык шөгінділер	kazdict
автоцемент тасушы	kazdict
агарик: агарик тұқымдастар	kazdict
агаһ болу	kazdict
агглютинатив: агглютинатив тілдер	kazdict
агент банк	kazdict
агент тарифтер	kazdict
агент шарты	kazdict
агент қызметін көрсету	kazdict
агенттік келісім	kazdict
агенттік лицензия	kazdict
агенттік облигация	kazdict
агенттік операциялар	kazdict
агенттік сыйақы	kazdict
аграрлық дағдарыс	kazdict
аграрлық реформа	kazdict
аграрлық саясат	kazdict
аграрлық сектор	kazdict
аграрлық қатынас	kazdict
аграрлық құрылыс	kazdict
аграрлық-өнеркәсіптік интеграция	kazdict
аграрлық-өнеркәсіптік: аграрлық-өнеркәсіптік бірлестік	kazdict
агрегатты станок	kazdict
агрессивті мінез-құлық	kazdict
агрессивті ниет	kazdict
агрессивті портфель	kazdict
агрессиялы тітіркендіргіш	kazdict
агрессиялы қимыл	kazdict
агробиологиялық кешен	kazdict
агроклиматтық орналастыру	kazdict
агрометеорологиялық бақылау	kazdict
агрометеорологиялық болжау	kazdict
агроөнеркәсіптік кешен	kazdict
агроөнеркәсіптік комбинат	kazdict
агроөнеркәсіптік орын	kazdict
ад валорем	kazdict
ада болды	kazdict
ада етті	kazdict
ада қылды	kazdict
ада қылу	kazdict
ада ұрды	kazdict
ада-күде болу	kazdict
адай бау	kazdict
адай домбыра	kazdict
адай көйлек	kazdict
адай тымақ	kazdict
адай шалбар	kazdict
адал [шын	kazdict
адал ас	kazdict
адал ақы	kazdict
адал билік	kazdict
адал болды	kazdict
адал еңбек	kazdict
адал еңбек етті	kazdict
адал жанды	kazdict
адал жар	kazdict
адал жол	kazdict
адал жіпсіз	kazdict
адал зат жоқ	kazdict
адал итсіз	kazdict
адал мал	kazdict
адал ниет	kazdict
адал ниетті	kazdict
адал ниеттілік	kazdict
адал сүт емген	kazdict
адал құс	kazdict
адал- ақы	kazdict
адалдан бер	kazdict
адалдан жиған мал	kazdict
адалдық пен арамдық	kazdict
адалдыққа нан ұстады	kazdict
адалзада зат	kazdict
адалын алдарына салды	kazdict
адалын шешкізу	kazdict
адалын шешу	kazdict
адалынан айырылды	kazdict
адалынан жарылды	kazdict
адалынан жолықтыр	kazdict
адалынан жолықтырар	kazdict
адалға қарасы жоқ	kazdict
адам - жылқы мінезді	kazdict
адам азаттығы	kazdict
адам айтқысыз	kazdict
адам аласы ішінде	kazdict
адам алатын бура	kazdict
адам анатомиясы	kazdict
адам ата	kazdict
адам атаулы	kazdict
адам аулады	kazdict
адам аяғы баспаған	kazdict
адам баласы	kazdict
адам баласына жазығы жоқ	kazdict
адам бар ма	kazdict
адам беті күшала	kazdict
адам болды	kazdict
адам болмады	kazdict
адам бық-бық етті	kazdict
адам біткен	kazdict
адам бұйрықтан қалмайды	kazdict
адам геномы	kazdict
адам емес	kazdict
адам етпес	kazdict
адам етті	kazdict
адам еңбегі	kazdict
адам жалмау	kazdict
адам жуа	kazdict
адам жылқы мінезді	kazdict
адам жұты	kazdict
адам және жануарлар морфологиясы	kazdict
адам иісті ұл	kazdict
адам капиталы	kazdict
адам күйіне түсті	kazdict
адам көргісіз	kazdict
адам көрмеген	kazdict
адам мен жануарлар зиянкестері	kazdict
адам морфологиясы	kazdict
адам нәсілдері	kazdict
адам санады	kazdict
адам сауды	kazdict
адам сирақ	kazdict
адам сүймес	kazdict
адам талып жығылғандай	kazdict
адам тегі	kazdict
адам тәрізді маймылдар	kazdict
адам төзгісіз	kazdict
адам факторы	kazdict
адам физиологиясы	kazdict
адам шақ келмеді	kazdict
адам шошығандай	kazdict
адам шәуенде	kazdict
адам экологиясы	kazdict
адам қатарына қосты	kazdict
адам қатарына қосылғандай	kazdict
адам қолы тимеген	kazdict
адам қолымен	kazdict
адам қолымен тұрғызғандай	kazdict
адам құрлы көрмеді	kazdict
адам құқылары мен бостандықтары	kazdict
адам құқығы	kazdict
адам құқығының бұзылуы: негізгі себептері	kazdict
адам құқығының бұзылуы: таптастыру	kazdict
адам құқықтары	kazdict
адам құқықтары бойынша еуропалық конвенция	kazdict
адам құқықтары жөніндегі халықаралық билль	kazdict
адам құқықтары туралы құжаттар	kazdict
адам құқықтарын қорғау	kazdict
адам құқықтарының жалпыға бірдей декларациясы	kazdict
адам құқықтарының жалпыға ортақ декларациясы	kazdict
адам ұлы	kazdict
адам әлеуметі	kazdict
адам өліміне әкеп соқтырған жазатайым оқиға үшін төленетін өтемақы	kazdict
адам өмірін құтқару	kazdict
адам өтпес	kazdict
адамгершілігі биік	kazdict
адамгершілік ce3im теориялары	kazdict
адамгершілік сезім теориялары	kazdict
адамгершілік тәрбиесі	kazdict
адамдарға қарсы жасалатын зұлымдық	kazdict
адамдығын жойды	kazdict
адамдық диқаншысы	kazdict
адамдық қадір-қасиет	kazdict
адамдық қасиет	kazdict
адамдық қатынас	kazdict
адамдықтан аттамады	kazdict
адамдықты жоғалтты	kazdict
адамзат рухы	kazdict
адамзат әулеті	kazdict
адами капитал	kazdict
адамнан асқан	kazdict
адамның адамдық белгісінің зоры	kazdict
адамның аласы ішінде	kazdict
адамның басы - алланың добы	kazdict
адамның басына бермесін	kazdict
адамның дәті шыдамайды	kazdict
адамның жан-жақты дамуы	kazdict
адамның жер жүзіне таралуы	kazdict
адамның иммундық тапшылық вирусы	kazdict
адамның компьютермен өзара әрекеттесуі	kazdict
адамның суын табу	kazdict
адамның тонын киді	kazdict
адамның қоры	kazdict
адамның өз-өзіне жасайтын зұлымдығы	kazdict
адамша азынау	kazdict
адамша күту	kazdict
адамша сөйлесіп жүру	kazdict
адамша тіл білу	kazdict
адамшылық арын аттады	kazdict
адамшылық арын сатты	kazdict
адамшылықты ту ғып ұстады	kazdict
адамшылыққа ұқсамайды	kazdict
адамға санамады [есептемеді	kazdict
адамға қайыр қылды	kazdict
адамға қарау	kazdict
адаптациялық синдром	kazdict
адаптив күтулер	kazdict
адасып жүр	kazdict
адасып кетті	kazdict
адасып қалғандай	kazdict
адасқан айып емес	kazdict
адасқан күшік секілді	kazdict
адасқан қаздай қақсау	kazdict
адасқан қудай	kazdict
адасқан қудай қайырылды	kazdict
адасқанның алды - жөн	kazdict
адасқанның алды жөн	kazdict
адау тартты	kazdict
адау: адау шөп	kazdict
адақ арба	kazdict
адвалорлық салық	kazdict
адвалорлық: адвалорлық баждар	kazdict
адвокаттар мен жеке нотариустардың табысы	kazdict
адвокаттық құпия	kazdict
аддисон ауруы	kazdict
аддитивтік және бейаддитивтік	kazdict
аденозиндифосфор қышқылы	kazdict
адзр ыпды	kazdict
адрес столы	kazdict
адсорбция изотермасы	kazdict
адуын мінезді	kazdict
адыбұлыққа жеткізу	kazdict
адым аттатпады	kazdict
адым жер	kazdict
адым жер шегінбеді	kazdict
адым жерге жібермеді	kazdict
адымдағыш машинелер	kazdict
адымдағыш экскаватор	kazdict
адымды аштырмады	kazdict
адымы қысқа	kazdict
адымын [ізін	kazdict
адымын алшаң басты	kazdict
адымын аштырмады	kazdict
адымын ашырмады	kazdict
адымын аңдап басты	kazdict
адымын аңдыды	kazdict
адымын аңдып басты	kazdict
адымын санап басты	kazdict
адын: адын леп	kazdict
адыр i	kazdict
адыр ii	kazdict
адыр мінезді	kazdict
адыр мінезі	kazdict
адыр-бұдыр мінез	kazdict
адыра талқан қылды	kazdict
адыра қал	kazdict
адыра қал [қалғыр	kazdict
адыра қалды	kazdict
адыра қалғыр	kazdict
адыра:адыра қалды	kazdict
адыраспан түтету	kazdict
адырақ көз	kazdict
адыраң: адыраң ете қалды	kazdict
адырна i	kazdict
адырна ii	kazdict
ажал айдады	kazdict
ажал алды	kazdict
ажал алдында тұр	kazdict
ажал аранын ашты	kazdict
ажал аузына апарып берді	kazdict
ажал аузынан алып қалды	kazdict
ажал аузынан қалды	kazdict
ажал аузында	kazdict
ажал аузында жатыр	kazdict
ажал ауыздықтады	kazdict
ажал бейне	kazdict
ажал болды	kazdict
ажал исі шықты	kazdict
ажал кез келді	kazdict
ажал келді	kazdict
ажал көрінгендей	kazdict
ажал лебіндей	kazdict
ажал орақ	kazdict
ажал оғы	kazdict
ажал оғы атылды	kazdict
ажал оғы тиді	kazdict
ажал оқ	kazdict
ажал сағаты соқты	kazdict
ажал тапты	kazdict
ажал таянды	kazdict
ажал торына тап болды	kazdict
ажал тырнағы	kazdict
ажал түртті	kazdict
ажал төндірді	kazdict
ажал уақыты жетті	kazdict
ажал қармағын салды	kazdict
ажал қашты	kazdict
ажал құрығы	kazdict
ажалдай арсыз	kazdict
ажалдай ақыру	kazdict
ажалдай көру	kazdict
ажалдай түсі суық	kazdict
ажалдан арашаланды	kazdict
ажалдан арашалап алды	kazdict
ажалдан қалды	kazdict
ажалды киік	kazdict
ажалды киік адырға	kazdict
ажалды оқтан құтылмайды	kazdict
ажалды қарға бүркітпен ойнайды	kazdict
ажалдың алмас қанжары	kazdict
ажалдың аузына түсті	kazdict
ажалдың аузынан қайтқан	kazdict
ажалдың ақ кебінін жамылды	kazdict
ажалдың исі шықты	kazdict
ажалдың шебі	kazdict
ажалмен алысты	kazdict
ажалсыз жан шықпайды	kazdict
ажалы жетті	kazdict
ажалы жоқ	kazdict
ажалы келді	kazdict
ажалы таяды	kazdict
ажалына асықты	kazdict
ажалынан үш күн бұрын өлді	kazdict
ажалға арашашы болды	kazdict
ажалға ерікті болды	kazdict
ажар [жүз	kazdict
ажар берді	kazdict
ажар білдірді	kazdict
ажар салды	kazdict
ажарланған күріш	kazdict
ажары [кейпі	kazdict
ажары [кейіп	kazdict
ажары кетті	kazdict
ажары кетті [қайтты	kazdict
ажары кірді	kazdict
ажары сынды	kazdict
ажары сынық	kazdict
ажары тайды	kazdict
ажары тозды	kazdict
ажары қашты	kazdict
ажары өтпеді	kazdict
ажарын ашты	kazdict
ажарын жоғалтты	kazdict
ажарын пәс қылмады	kazdict
ажарын сатты	kazdict
ажарын таныды	kazdict
аждаһадай [айдаһардай	kazdict
аждаһадай айбары	kazdict
аждаһадай аранын ашу	kazdict
аждаһадай ашулы	kazdict
аждаһадай жұтты	kazdict
ажуа болды	kazdict
ажуа болды [етті	kazdict
ажуа етті	kazdict
ажуалап күлген сияқтану	kazdict
ажы гұң ақырады	kazdict
ажым басты	kazdict
ажым түсті	kazdict
ажыратып алды	kazdict
ажыраң етті	kazdict
ажыраң-ажыраң етті	kazdict
ажырық қысқан тарыдай	kazdict
аз i	kazdict
аз ii	kazdict
аз ата	kazdict
аз да болса	kazdict
аз емес	kazdict
аз сомаларды төлеуден бас тарту туралы ескерту	kazdict
аз тола	kazdict
аз шама	kazdict
аз ғана	kazdict
аз ұлттардың құқықтары	kazdict
аз-ақ қалды	kazdict
аза i	kazdict
аза ii	kazdict
аза берді	kazdict
аза бермейді	kazdict
аза бойы тік тұрды	kazdict
аза бойы қаза болды	kazdict
аза бойы қаза болды [тұрды	kazdict
аза бойы қаза тұру	kazdict
аза бойым таза болды	kazdict
аза болды	kazdict
аза күн	kazdict
аза күтті	kazdict
аза салды	kazdict
аза тартты	kazdict
аза тұтты	kazdict
азаб әл-қабр	kazdict
азабекір: азабекір болу	kazdict
азабы жоқ	kazdict
азабы сіңу	kazdict
азабын тартты	kazdict
азайтылған сомалар	kazdict
азалаған анадай	kazdict
азалы ақ көрпе	kazdict
азамат болды	kazdict
азамат серіктігі	kazdict
азамат соғысы	kazdict
азаматтардың сайлау құқықтарының кепілдіктері	kazdict
азаматтығы болмау	kazdict
азаматтығы жоқ адам	kazdict
азаматтығы жоқ адамдар	kazdict
азаматтығы жоқ адамдар статусы туралы конвенция	kazdict
азаматтық авиация	kazdict
азаматтық айналым	kazdict
азаматтық ар	kazdict
азаматтық бағынбау	kazdict
азаматтық борыш	kazdict
азаматтық бостандық	kazdict
азаматтық бірегейлік	kazdict
азаматтық дін	kazdict
азаматтық жауапкер	kazdict
азаматтық жауапкершілік	kazdict
азаматтық жауапкершілікті сақтандыру	kazdict
азаматтық журналистика	kazdict
азаматтық заңнама	kazdict
азаматтық кеме	kazdict
азаматтық кодекс	kazdict
азаматтық лирика	kazdict
азаматтық неке	kazdict
азаматтық парыз	kazdict
азаматтық позиция	kazdict
азаматтық сәйкестендіру	kazdict
азаматтық талап	kazdict
азаматтық талап; қуыным	kazdict
азаматтық талапкер	kazdict
азаматтық хал актілері	kazdict
азаматтық хал актілерінің жазбасы	kazdict
азаматтық іс	kazdict
азаматтық іс жүргізу заңнамасы	kazdict
азаматтық іс жүргізу құқығы	kazdict
азаматтық қауымдастық	kazdict
азаматтық қоfам	kazdict
азаматтық қорғаныс	kazdict
азаматтық қоғам	kazdict
азаматтық қызмет	kazdict
азаматтық қызметші	kazdict
азаматтық құқық	kazdict
азаматтық құқықтар мен бостандықтар	kazdict
азаматтық құқықтар мен міндеттер	kazdict
азаматтық үн	kazdict
азаматтық-құқықтық жауапкершілікті сақтандыру	kazdict
азаматтың меншігі	kazdict
азан айтты	kazdict
азан айтты [салды	kazdict
азан айтып қойған аты	kazdict
азан да қазан	kazdict
азан оқыды	kazdict
азан салды	kazdict
