# form	track	verbal-weight	nominal-weight — tools/tracks.py
# for entries with no part of speech. An entry not listed here keeps
# both tracks, because the books do not say which one it is on.
алығ	v	2	0
альтернатива	n	0	29
алғандағы	n	0	9
алғаны	n	0	243
алғанын	n	0	52
алғашқысы	n	0	54
алғырлығы	n	0	30
алғыста	v	2	0
алғыстау	n	0	2
алғышарттар	n	44	208
алқам	v	10	5
алқас	n	0	178
алқымдат	v	4	0
алқынт	v	10	0
аләйһиссалам	n	0	5
ам	v	59	9
амалдарын	n	0	7
амалдау	n	2	6
амалы	n	0	92
амандасу	n	31	136
амандау	n	0	6
аманжан	n	5	9
аманғали	n	4	19
ами	n	0	4
амнистия	n	0	2
аморф	v	25	5
амплуа	n	0	4
амс	v	3	0
анаграмма	n	0	3
анай	n	5	243
анал	v	661	35
аналар	n	159	937
анальгин	v	2	0
анарбай	n	0	6
анасы	n	0	1105
анау	n	9	86
анафора	n	0	10
анаша	n	0	7
андай	v	12	3
андас	n	0	23
андағ	n	0	107
андағы	n	0	18
ани	n	0	4
анкабин	n	0	2
анлар	n	4	24
аннал	n	0	15
аннан	n	0	20
аннас	n	0	13
анонимд	n	0	22
ансамбльдер	n	2	25
анталап	v	2	0
анталат	v	4	0
антенналар	n	0	2
антикалық	n	3	17
антиномия	n	4	54
антрепренер	n	0	2
анттасу	n	0	7
анты	n	0	23
ануар	v	2	0
аны	n	2	5
анықтай	v	325	5
анықтайтын	n	2	13
анықтала	v	338	0
анықталу	n	0	129
анықталуы	n	0	13
анықталғыш	n	0	2
анықтамалығын	n	0	6
анықтамасы	n	0	60
анықтап	v	20	0
анықтату	n	0	2
анықтауын	n	0	13
анықтылық	n	5	45
анықтығын	n	0	2
апам	n	147	288
апаратын	n	0	30
апару	n	39	243
апарылу	n	0	4
апарып	v	52	0
апарған	n	9	157
апасы	n	0	267
аполлондық	n	3	5
апологетика	n	0	6
апория	n	3	6
аптай	v	3	0
апталып	v	2	0
аптығу	n	0	7
аптықпа	v	8	3
аптықпай	v	7	0
апшыт	v	10	0
апы	n	0	6
апыр	n	44	119
апырмай	n	0	3
апырым	n	0	2
арабек	n	0	2
арабеск	v	2	0
арабеска	n	0	9
арабтандыр	v	2	0
араздастыру	n	2	6
араздасу	n	0	20
арайлану	n	0	2
арайлат	v	2	0
араластыра	v	60	0
араластыру	n	11	115
араласу	n	60	642
араласып	v	20	0
аралату	n	3	7
аралау	n	17	296
аралаш	n	0	4
аралаған	n	8	135
аралығы	n	0	48
арандау	n	0	4
арасы	n	0	686
арасындағы	n	0	30
арашалау	n	4	61
арақатынасы	n	0	33
арақатынасын	n	0	27
араң	n	13	35
арбалу	n	0	2
арбасу	n	4	66
арбаға	n	0	11
арби	v	128	4
арбитр	n	0	3
аргиллит	n	0	5
арго	n	0	6
аргонавтар	n	0	6
аргумент	n	9	69
аргументация	n	0	16
ардан	n	0	2
аренда	n	2	52
арз	v	73	20
арзандау	n	0	14
арзақ	n	0	4
ариозо	n	0	9
арис	n	0	2
аристократ	n	3	72
ариф	n	0	4
арк	v	15	5
аркадалар	n	0	2
арлану	n	2	7
арлау	n	0	2
арма	n	13	1561
армандау	n	21	109
армандаушы	n	0	2
арманы	n	0	248
арнай	n	190	1072
арналмаған	n	0	4
арналу	n	0	47
арналып	v	37	0
арнас	n	3	369
арнасын	n	0	139
арнат	v	16	0
аронұлы	n	0	3
арп	v	7	3
арпалыстыр	v	13	0
арпалысу	n	2	52
арпаң	v	4	0
арпыл	n	0	2
арсалаң	n	0	8
арсаңда	v	4	0
арси	v	19	2
арсылдас	v	8	0
арсылдат	v	14	0
арсын	n	3	16
арта	v	432	2
артады	n	0	2
артезиан	n	0	2
артефакт	n	0	8
арттағы	n	0	94
арттыра	v	151	0
арттыратын	n	0	6
арттыру	n	50	300
арттырып	v	6	0
арту	n	18	383
артуы	n	0	37
арты	n	2	262
артылдыр	v	13	0
артылу	n	0	18
артып	v	35	0
артыс	v	16	0
артықсын	v	4	0
артықтығы	n	0	6
артықша	n	0	2
аруах	v	4	0
аруақта	v	2	0
аруақтан	v	65	0
аруз	n	3	9
арула	v	27	0
арф	v	2	0
арфан	n	0	10
архетиптер	n	11	44
архивін	n	0	83
архитектоника	n	12	42
архитектурасы	n	0	27
аршындат	v	6	0
аршыс	v	5	0
арыздан	v	93	2
арызданушы	n	0	6
арыздасу	n	0	14
арызшыл	v	15	3
арызқор	n	0	2
арылда	v	18	0
арылдат	v	6	0
арылдыр	v	2	0
арылу	n	39	222
арымай	v	13	0
арындат	v	22	0
арындау	n	0	2
арып	v	14	0
арырақ	n	0	10
арығ	n	0	72
арықша	n	0	4
арың	v	141	66
арғымағым	v	3	0
арғыс	n	0	158
арқ	v	342	9
арқалану	n	0	2
арқалау	n	6	64
арқалаған	n	0	31
арқандат	v	5	0
арқандау	n	0	8
арқаулы	n	0	4
арқырат	v	29	0
асады	n	0	3
асай	v	52	0
асайыш	n	0	2
асал	n	2	11
асам	v	2	0
асанқайғы	n	0	67
асас	n	10	66
асасы	n	0	38
асаты	n	0	45
асаусы	v	5	0
аси	n	0	2
асир	n	2	10
асия	n	0	2
аскар	v	5	0
асла	n	0	10
аспай	v	425	3
аспайтын	n	0	26
аспала	v	2	0
аспандат	v	192	2
аспандау	n	0	2
аспансу	n	0	2
аспансы	v	3	0
аспас	n	0	49
аспау	n	3	105
аспауы	n	0	2
аспект	n	6	95
асрар	n	0	2
ассалаумағалейкүм	n	0	2
ассимиляциялан	v	18	0
ассимиляциялану	n	0	7
ассимиляциялау	n	0	9
ассоциациялан	v	19	0
ассоциациялану	n	0	2
аст	n	213	1914
астамсу	n	0	2
астамсы	v	24	0
астамсын	v	4	0
астан	n	8	22
астанадағы	n	0	5
астарлан	v	37	0
астарлат	v	3	0
астарын	n	0	393
астастыр	v	28	0
астастыру	n	0	2
астаулан	v	2	0
астын	n	0	2060
астындағы	n	3	112
астыр	v	94	3
асуад	n	0	4
асуы	n	0	99
асфальттал	v	15	0
асфальттан	v	8	0
асфальттау	v	2	0
асфаһан	n	2	11
асхаб	n	0	43
асылдандыр	v	71	0
асылдандыру	n	9	29
асылдыр	v	7	0
асылзат	n	16	33
асылт	v	7	0
асылтекті	n	0	2
асылу	n	5	29
асын	v	907	142
асындыр	v	20	0
асыну	n	0	12
асып	v	149	2
асырал	v	13	0
асырат	v	26	0
асыратын	n	0	28
асырмай	v	45	0
асырт	v	11	0
асыру	n	150	953
асырыл	v	795	2
асырылатын	n	0	11
асырылуы	n	0	26
асырылуын	n	0	6
асырылып	v	2	0
асырылған	n	2	20
асырған	n	6	74
асыс	v	8	2
асығ	v	1946	185
асыға	v	367	17
асығу	n	14	123
асықпау	n	8	20
асықтыру	n	0	16
асқақтату	n	2	20
асқақтау	n	3	21
асқыз	v	28	0
асқында	v	23	2
асқындау	n	0	4
асқындыру	n	0	4
асқынт	v	5	0
атады	n	0	2
аталатын	n	18	188
аталу	n	2	353
аталуы	n	0	87
аталып	v	128	0
аталған	n	4	295
атамыз	n	59	460
атандыр	v	254	0
атант	v	5	0
атану	n	6	188
атаның	v	2	0
атанған	n	2	144
атас	n	96	1205
атасақал	n	0	2
атастырыл	v	74	0
атастырылу	n	0	3
атасы	n	0	772
атат	v	24	3
ататтыр	v	4	0
атаулары	n	0	159
атаушы	n	0	10
атауы	n	0	287
атауыш	n	0	6
атаған	n	38	358
атағаны	n	0	28
атағы	n	0	179
атақтал	v	2	0
атбас	v	103	9
атбақ	v	2	0
атжалдан	v	4	0
атжарыс	n	0	2
атлары	n	0	5
атлығ	n	0	3
атлық	n	0	2
атойлас	v	5	0
атойлат	v	9	0
атойлау	n	0	2
атпай	v	125	0
аттам	v	12	2
аттанда	v	67	0
аттандас	v	7	0
аттандыру	n	15	83
аттану	n	39	342
аттар	n	405	1609
аттары	n	0	453
аттестацияла	v	6	0
аттика	n	0	36
аттың	n	0	15
атылас	n	0	3
атылатын	n	0	2
атылт	v	2	0
атылу	n	2	84
атын	n	107	216
атыр	v	305	24
атырын	v	9	0
атырған	n	0	9
атысу	n	3	66
атың	v	661	417
атқаратын	n	0	56
атқармаған	n	0	10
атқарт	v	6	0
атқару	n	65	682
атқаруын	n	0	10
атқарыл	v	507	0
атқарылмаған	n	0	4
атқарылу	n	2	59
атқарылуы	n	0	3
атқарылуын	n	0	2
атқарыс	v	26	0
атқарысу	n	0	3
атқарған	n	3	166
атқақта	v	26	0
атқызу	n	0	8
атқылас	v	10	0
атқылат	v	26	0
атқыр	n	5	24
атқыт	v	19	0
ауал	n	3	14
ауалан	v	14	0
ауд	n	64	546
ауданда	v	4	0
аудандар	n	64	543
аудандары	n	0	145
аудандастыр	v	3	0
ауданы	n	0	426
ауданындағы	n	0	2
аудара	v	491	55
аудармала	v	2	0
аударту	n	9	33
аудару	n	134	802
аударылу	n	3	116
аударылуы	n	0	10
аударылып	v	25	0
аударылған	n	0	94
аударып	v	76	0
аударыстыр	v	172	0
аударыстыру	n	0	4
аударысу	n	0	2
аударған	n	13	411
аудаң	n	0	4
аудыр	v	29	0
аузын	n	0	1070
аузындағы	v	38	8
аулад	n	0	131
аулан	n	87	136
аулас	n	8	136
аулақтату	n	0	10
аулақтатыл	v	3	0
аунап	v	10	0
аунату	n	0	6
аунау	n	4	8
аунақшыт	v	7	0
ауп	v	2	0
аурат	n	0	2
аурулар	n	136	386
аурулары	n	0	34
ауруханада	n	0	2
ауруханалар	n	8	46
ауруы	n	0	197
ауруын	n	0	3
аусарла	v	10	0
аусарлан	v	4	0
аутсайдер	n	0	2
аутсайдерлер	n	0	3
ауу	n	0	29
аууал	v	2	0
ауы	v	210	28
ауыздандыр	v	54	0
ауыздандыру	n	0	2
ауыздану	n	0	5
ауыздықтал	v	29	0
ауыздықталу	n	0	2
ауылда	n	12	65
ауылшыла	v	2	0
ауым	v	7	4
ауырлат	v	156	2
ауырлату	n	0	7
ауырмай	v	137	0
ауырсыну	n	2	20
ауырту	n	0	23
ауыру	n	9	80
ауырып	v	29	0
ауыстырт	v	2	0
ауыстырыл	v	329	0
ауыстырылуы	n	0	6
ауысуы	n	0	58
ауытқымай	v	35	0
ауытқымау	n	9	16
ауытқыт	v	25	0
ауытқыту	n	0	5
ауық	n	0	9
ауға	n	19	68
ауғанбай	n	0	2
ауғыз	v	5	2
ауқалақтат	v	2	0
ауқаттан	v	105	0
ауқаттандыр	v	13	0
ауқаттану	n	0	14
ауқаула	v	2	0
ауқымда	v	2	0
ауқымдағы	n	0	2
ауқымы	n	0	93
афақ	v	2	0
афзал	n	0	2
афоризмдер	n	2	35
афта	n	0	2
афтада	n	0	2
аха	v	55	7
ахил	n	0	3
ахират	n	0	6
ахтар	n	0	6
ахуалды	n	0	4
ахуалын	n	0	48
ахыр	n	0	3
ашалан	v	6	0
ашалы	n	0	2
ашамайла	v	2	0
ашатын	n	2	39
ашау	n	0	2
ашаңда	v	36	0
ашия	n	0	2
ашиян	n	0	4
ашна	n	0	5
ашпа	v	653	45
ашраф	v	2	0
аштыр	v	442	4
аштырмау	n	0	5
аштырып	v	6	0
аштың	n	0	8
ашуг	n	0	2
ашулана	v	152	15
ашуланбау	n	0	3
ашуландыру	n	0	7
ашулант	v	5	2
ашулану	n	6	58
ашуланыс	v	5	0
ашуы	n	0	149
ашыла	v	728	0
ашылатын	n	0	18
ашылмау	n	0	12
ашылуы	n	0	72
ашылысу	n	0	2
ашындыру	n	0	2
ашып	v	135	0
ашыр	n	50	76
ашырлық	n	0	5
ашыс	v	47	3
ашысу	n	0	3
ашыту	n	3	7
ашытыл	v	21	0
ашығ	v	310	62
ашықтан	v	2	0
ашықты	n	0	3
ашықтыр	v	48	0
ашыңқыра	v	6	0
ашқазан	n	0	2
ашқан	n	22	809
ашқарақтан	v	19	0
ашқызу	n	0	4
ашқылтым	v	2	0
ащағар	n	0	6
ащыла	v	56	0
ащылас	v	4	0
ащылат	v	2	0
ащысын	v	2	0
аэд	n	0	7
аюсы	v	2	0
аязда	v	7	2
аякс	n	0	6
аял	n	85	368
аялан	v	8	0
аялану	n	0	2
аялас	v	4	0
аялдат	v	19	3
аяну	n	2	5
аяншақта	v	2	0
аярлан	v	5	0
аярсы	v	2	0
аясы	n	0	107
аяғансы	v	2	0
аяғы	n	0	1423
аяғын	n	8	1108
аяғындағы	n	0	3
аяқсы	v	3	0
аяқсыт	v	2	0
аяқтай	v	237	3
аяқталатын	n	0	33
аяқтандыр	v	79	0
аяқтандыру	n	0	4
аяқтас	v	12	2
аяқтастыр	v	2	0
аяқтау	n	43	227
аяңдас	v	14	0
аяңдат	v	77	0
аяңдау	n	0	9
ағаз	n	0	2
ағал	v	507	184
ағалы	n	0	10
ағараң	n	0	2
ағарыңқы	n	0	2
ағашшы	n	0	6
ағраби	n	4	7
ағы	n	199	864
ағызылу	n	0	3
ағызып	v	13	0
ағыла	v	93	0
ағып	v	65	0
ағытылу	n	0	2
ағыш	n	0	3
ақабат	n	0	2
ақар	v	3	2
ақат	v	3	0
ақба	n	0	24
ақбілек	n	19	59
ақжібек	n	3	10
ақида	n	0	4
ақиқаттылық	n	5	16
ақке	n	0	21
ақпараттары	n	0	3
ақпаратты	n	0	4
ақпараты	n	0	16
ақсандық	n	0	2
ақсату	n	0	5
ақсау	n	0	7
ақсақалдар	n	64	542
ақталу	n	15	165
ақтана	v	10	0
ақтару	n	2	101
ақтарылу	n	0	24
ақтарып	v	20	0
ақтарыстыру	n	0	2
ақтарысу	n	0	2
ақтаңдақтар	n	15	41
ақуал	n	13	31
ақшасы	n	0	159
ақшасын	n	0	5
ақшақұмарлық	v	3	0
ақшит	v	8	0
ақылгөйсу	n	0	4
ақылдасу	n	16	122
ақылдылар	n	11	66
ақылжан	n	0	2
ақындар	n	195	1335
ақыны	n	0	147
ақыра	v	192	0
ақыру	n	2	22
ақыры	n	0	66
ақырып	v	35	0
аққабақ	n	0	5
аққас	n	0	10
аққы	n	0	5
аңду	n	16	161
аңдып	v	6	0
аңдысу	n	5	36
аңлаусыз	n	0	3
аңсау	n	20	279
аңыздау	n	0	2
аңыру	n	0	2
аңғартатын	n	0	5
аңғару	n	11	379
аңғары	n	0	90
аңғарылу	n	0	10
аңқаусыз	n	0	2
аңқу	n	0	2
аһа	v	5	0
аһл	n	5	12
аһыл	n	2	3
аһыла	v	7	0
бабалар	n	44	841
бабалары	n	0	269
бабамыз	n	37	378
бабақан	n	0	2
бабувизм	v	2	0
бабы	n	0	339
бады	n	0	2
бадырақ	n	3	5
бажай	n	0	5
бажайла	v	37	0
бажби	v	6	0
баждар	v	4	2
бажы	n	3	21
бажылдас	v	13	0
бажылдат	v	14	0
бажырай	v	118	6
бажырайт	v	14	0
базардағы	n	0	13
базаркан	n	0	8
базаркуар	n	0	2
базарлау	n	0	9
базаршыл	v	21	0
базасы	n	0	56
базасын	n	0	55
баздан	v	17	0
базынала	v	2	0
базыналық	n	0	4
баи	v	6	0
байан	v	2	0
байбаламда	v	5	0
байбаламдас	v	2	0
байбаламшылдық	n	0	2
байбатыр	n	0	5
байгелді	n	0	9
байкөкше	n	0	11
байлану	n	4	46
байланыса	v	88	0
байланыстар	n	138	422
байланыстыра	v	234	0
байланыстырушы	n	0	8
байланыстыруы	n	0	2
байланыстырыл	v	262	0
байланысу	n	6	58
байланысы	n	5	161
байланысын	n	0	67
байланысқа	n	0	8
байлап	v	128	0
байласу	n	3	26
байлат	v	323	4
байлауын	n	0	19
баймат	v	2	0
баймахан	n	0	2
баймолда	n	0	2
байпаңдат	v	2	0
байрам	n	2	4
байс	v	2	0
байсалдық	n	0	4
байталдық	n	0	2
байтулла	n	0	8
байтөбет	n	0	15
байшуақ	n	0	3
байшы	n	0	3
байшыгеш	v	2	0
байшыл	n	2	41
байшылдық	n	5	17
байыздау	n	0	4
байымдал	v	2	0
байымдау	n	0	12
байын	n	0	13
байыптал	v	7	0
байыптау	n	3	38
байырқа	n	0	2
байырқала	v	20	2
байырқалат	v	20	0
байырқат	v	5	0
байыс	n	3	46
байыта	v	76	0
байытыл	v	69	0
байытып	v	2	0
байғали	n	2	6
байғара	n	0	12
байқалмай	v	398	0
байқалу	n	0	73
байқалған	n	2	38
байқампаз	n	0	19
байқампаздық	n	0	7
байқас	v	71	20
байқаста	v	16	0
байқастау	n	0	2
байқасу	n	0	5
байқауын	n	0	31
балаларын	n	0	34
баламалан	v	4	0
баламалы	n	0	7
баламалылығы	n	0	4
баламалылық	n	0	4
балапанда	v	2	0
балар	n	4	21
баласы	n	2	1711
баласына	v	5	0
балаға	n	9	18
балағаттау	n	4	58
балдахан	n	0	2
балдырла	v	6	0
балиғы	n	0	2
балпай	v	2	0
балпаңда	v	7	0
балпаңдат	v	2	0
балтай	v	3	0
балталан	v	5	0
балталас	v	3	0
балталау	n	0	4
балу	n	0	3
балшылдат	v	2	0
балығ	n	0	220
балықшын	n	0	29
бальзамдал	v	7	0
бальзамдан	v	2	0
балғожа	n	0	8
балғындан	v	2	0
бан	v	191	100
банд	n	12	99
бандал	v	24	0
банкноттар	n	2	5
банктер	n	9	61
банктері	n	0	8
банкі	n	2	143
банкін	n	0	23
бапкерлер	n	0	12
баптал	v	61	0
бапталу	n	0	3
баптандыр	v	2	0
баптану	n	0	2
бара	v	2572	680
барабанда	n	0	6
барабандат	v	13	0
барайын	n	0	2
барам	n	0	2
баранда	v	3	0
баранка	n	0	19
баратын	n	16	149
бард	n	0	2850
барды	n	0	23
барк	v	7	0
барка	v	8	0
барлан	v	42	0
барлану	n	0	2
барлат	v	12	0
барлы	n	0	20
барлығ	n	53	1531
барлығы	n	0	647
барлығын	n	0	322
барлықтыр	v	2	0
бармақта	v	4	0
бармен	n	4	9
баро	n	0	12
барп	n	0	2
барпылда	v	2	0
бартер	n	0	14
барти	v	11	0
бартылдат	v	6	0
барча	n	0	2
баршасы	n	0	107
баршында	v	2	0
барылдас	v	3	0
барылдат	v	5	0
барымталан	v	22	0
барымталас	v	24	0
барымталастыр	v	2	0
барымталасу	n	0	2
барымталат	v	2	0
барымталау	n	4	6
барымташы	n	0	88
барып	v	463	5
барысу	n	0	2
барысы	n	0	225
барысын	n	0	681
барығ	n	0	2
барық	n	3	5
барың	n	241	461
барған	n	104	1987
барғыз	v	31	2
барғышта	v	2	0
барғыштау	v	2	0
барқ	n	0	15
барқа	n	0	54
барқылда	v	21	0
барқындан	v	15	0
барқыра	v	33	0
барқырас	v	3	0
барқырат	v	2	0
баспала	v	9	6
баспалат	v	13	0
баспанала	v	3	0
баспаналау	n	0	2
баспасы	n	0	100
бассауғала	v	2	0
бастады	n	0	7
бастадың	n	0	16
бастайтын	n	6	67
басталу	n	4	400
басталған	n	10	488
бастамау	n	0	15
бастандыр	v	7	0
бастап	v	559	15
бастары	n	0	187
бастарын	n	0	196
бастат	v	209	0
бастаттыр	v	2	0
бастауы	n	0	306
бастаған	n	39	1502
бастағы	n	0	33
бастырмалат	v	144	0
бастырт	v	34	0
бастырып	v	16	0
бастысы	n	0	5
бастығы	n	0	505
басшылары	n	0	578
басшылығы	n	0	412
басшысы	n	5	306
басылу	n	2	126
басылыңқыра	v	4	0
басымдығы	n	0	20
басына	v	50	2
басындағы	n	3	159
басынт	v	6	0
басыну	n	0	30
басып	v	262	0
басыс	n	21	32
басқала	v	36	2
басқалан	v	13	0
басқалар	n	431	3123
басқаны	n	0	36
басқармасы	n	0	318
басқармасын	n	0	121
басқарт	v	64	2
басқарту	n	0	2
басқарушылар	n	15	141
басқаруы	n	0	164
басқарыл	v	243	0
басқарылу	n	0	28
басқарып	v	35	0
басқарыс	v	19	0
басқасы	n	0	263
басқыз	v	67	0
басқыла	v	2	0
басқыр	n	3	9
басқышта	v	2	0
батагөй	n	2	36
батагөйлік	n	0	2
баталас	v	84	5
баталасу	n	0	6
баталы	n	0	3
батан	n	9	120
батар	n	0	150
батиха	v	4	0
батпанда	v	9	0
